Run,PTA,2-tail,3-tail,Adaptive
1,0.6833,0.8167,0.7667,0.8
2,0.6667,0.75,0.8667,0.8
3,0.6556,0.7389,0.8556,0.8556
4,0.6778,0.7944,0.9833,0.9833
5,0.6944,0.7389,0.8889,0.8
6,0.7111,0.7667,0.8111,0.8444
7,0.6833,0.7833,0.9222,0.9222
8,0.65,0.7167,0.8333,0.9
9,0.65,0.75,0.85,0.8167
10,0.6556,0.7333,0.8222,0.8222
